valid_i,item_id,word,target,distractor,conflict_score,neutral_mean,effect,model_key
25,29,full,empty,complete,3.479214668273926,4.234529137611389,0.7553144693374634,olmo_1b_base
26,31,light,dark,bright,3.4907989501953125,3.384196400642395,-0.10660254955291748,olmo_1b_base
27,32,narrow,wide,thin,5.045347690582275,5.2751710414886475,0.22982335090637207,olmo_1b_base
28,33,wide,narrow,broad,2.218428611755371,3.2583422660827637,1.0399136543273926,olmo_1b_base
29,34,deep,shallow,profound,4.962890625,5.599096894264221,0.6362062692642212,olmo_1b_base
30,35,shallow,deep,superficial,3.166532516479492,6.226922571659088,3.060390055179596,olmo_1b_base
31,36,near,far,close,2.8855628967285156,3.320927679538727,0.4353647828102112,olmo_1b_base
32,37,far,near,distant,3.6378917694091797,5.142904043197632,1.5050122737884521,olmo_1b_base
33,38,young,old,youthful,6.376521587371826,9.170319199562073,2.7937976121902466,olmo_1b_base
34,39,rough,smooth,coarse,6.750936508178711,9.830060005187988,3.0791234970092773,olmo_1b_base
35,40,smooth,rough,sleek,6.167683124542236,8.418511688709259,2.2508285641670227,olmo_1b_base
36,41,wet,dry,damp,2.4225988388061523,4.458551287651062,2.0359524488449097,olmo_1b_base
37,42,open,closed,unlocked,5.557679176330566,7.870337963104248,2.3126587867736816,olmo_1b_base
38,43,closed,open,shut,3.200643539428711,4.782644629478455,1.5820010900497437,olmo_1b_base
39,44,kind,cruel,nice,4.238314628601074,5.284244894981384,1.04593026638031,olmo_1b_base
40,45,cruel,kind,mean,3.3331995010375977,4.626201748847961,1.2930022478103638,olmo_1b_base
41,47,calm,anxious,peaceful,2.2061872482299805,5.224097490310669,3.0179102420806885,olmo_1b_base
42,48,anxious,calm,nervous,1.5363035202026367,7.452557265758514,5.916253745555878,olmo_1b_base
43,50,lazy,active,idle,3.51668643951416,5.334322214126587,1.8176357746124268,olmo_1b_base
44,51,active,lazy,busy,4.095005989074707,4.051626145839691,-0.04337984323501587,olmo_1b_base
45,52,complex,simple,complicated,2.3496456146240234,5.531615674495697,3.1819700598716736,olmo_1b_base
46,53,cheap,expensive,inexpensive,2.6812686920166016,3.6592437624931335,0.977975070476532,olmo_1b_base
47,54,expensive,cheap,costly,1.773331642150879,4.87441873550415,3.1010870933532715,olmo_1b_base
48,55,false,true,fake,6.029025077819824,6.305972337722778,0.2769472599029541,olmo_1b_base
49,56,thick,thin,dense,5.2413530349731445,6.244635283946991,1.0032822489738464,olmo_1b_base
50,57,thin,thick,slim,3.069387435913086,5.051486492156982,1.9820990562438965,olmo_1b_base
51,58,sharp,dull,pointed,7.325814723968506,9.348834872245789,2.0230201482772827,olmo_1b_base
52,59,dull,sharp,blunt,3.568479537963867,5.574697911739349,2.006218373775482,olmo_1b_base
53,61,smart,stupid,clever,2.430095672607422,3.78846675157547,1.358371078968048,olmo_1b_base
54,62,stupid,smart,dumb,0.8012266159057617,3.5527883172035217,2.75156170129776,olmo_1b_base
55,63,bad,good,poor,4.795019149780273,5.202608048915863,0.4075888991355896,olmo_1b_base
56,64,wrong,right,incorrect,2.843888282775879,3.860511541366577,1.0166232585906982,olmo_1b_base
